Bowler,ReleaseY External,ReleaseZ External
LW James,-0.5125072,2.0916284
LW James,-0.5054936,2.0704554
LW James,-0.4672665,2.1114189
LW James,-0.5160077,2.1370238
LW James,-0.4347278,1.7567099
LW James,-0.4716585,2.1435021
LW James,-0.49648,2.1036963
FP O'Neill,-0.7395656,2.0178356
FP O'Neill,-0.7536888,1.9883458
FP O'Neill,-0.760179,2.0322089
FP O'Neill,-0.7360349,1.975007
FP O'Neill,-0.7001721,2.0066095
LW James,-0.5155661,2.0956482
LW James,-0.500726,2.0755227
LW James,-0.5583277,2.0900255
LW James,-0.462752,1.9951943
LW James,-0.5918579,2.1938089
LW James,-0.5964601,2.243309
FP O'Neill,-0.7440794,1.9762305
FP O'Neill,-0.7453704,2.028009
FP O'Neill,-0.761835,2.0156987
FP O'Neill,-0.6770974,1.8570626
FP O'Neill,-0.7998271,2.004948
FP O'Neill,-0.7896477,2.0374893
LW James,-0.4934902,2.2162719
LW James,-0.559319,2.0584574
LW James,-0.5386851,2.1514724
LW James,-0.5186487,2.1273601
F Ahmed,-0.714305,2.0400796
F Ahmed,-0.749427,2.0567143
F Ahmed,-0.6889854,2.0186389
F Ahmed,-0.7422583,2.0550786
F Ahmed,-0.7178736,2.0228185
F Ahmed,-0.7163987,2.0412914
F Ahmed,-0.7596191,2.0699446
F Ahmed,-0.6933697,2.048474
F Ahmed,-0.696822,2.0483378
F Ahmed,-0.6829322,2.0201645
F Ahmed,-0.7501857,2.035219
F Ahmed,1.0259052,2.0747671
F Ahmed,0.9207791,2.0229936
F Ahmed,0.9200389,2.0311871
F Ahmed,1.0020221,2.0634917
F Ahmed,0.9471509,2.0012217
F Ahmed,0.9998552,2.0744889
F Ahmed,1.0639902,2.0592126
F Ahmed,0.9725379,2.0407587
F Ahmed,1.0791286,2.1306442
F Ahmed,1.0743697,2.0735155
F Ahmed,1.0862492,2.1480029
F Ahmed,0.9900787,2.0689592
F Ahmed,1.0246611,2.0863914
F Ahmed,1.0187657,2.065023
F Ahmed,1.0757081,2.1147658
F Ahmed,1.0762807,2.0788408
F Ahmed,0.9521343,2.0474194
F Ahmed,0.8787375,2.0232981
F Ahmed,1.0728193,2.0836101
F Ahmed,0.9954094,2.0650172
JC Tongue,-0.8702745,2.1025408
JC Tongue,-0.9292533,2.1454418
JC Tongue,-0.9204793,2.090888
JC Tongue,-0.8973914,2.043373
JC Tongue,-0.9267826,2.0963082
JC Tongue,-0.8997615,2.0485428
JC Tongue,-0.9415365,2.0967624
F Ahmed,0.9445087,2.0389031
F Ahmed,0.9620798,2.0786918
F Ahmed,0.9565231,2.0232974
F Ahmed,0.9942146,2.040787
F Ahmed,0.9304641,2.0265014
JC Tongue,-0.8417428,2.1111722
JC Tongue,-1.0458514,2.193143
JC Tongue,-0.9907655,2.1086414
JC Tongue,-0.9089325,1.9929922
JC Tongue,-0.9381992,2.052919
JC Tongue,-0.83,1.82
JC Tongue,-0.945638,2.0604065
F Ahmed,0.9029366,2.0345524
F Ahmed,1.0434256,2.0548029
F Ahmed,0.9474157,2.0561886
F Ahmed,1.0000772,2.040213
F Ahmed,1.0391708,2.0291668
JC Tongue,-0.9432719,2.0586144
JC Tongue,-0.9200397,2.03461
JC Tongue,-0.9245266,2.0967888
JC Tongue,-1.0031773,2.0921116
JC Tongue,-0.9060155,2.114536
JC Tongue,-0.9303527,2.1287044
F Ahmed,0.9863578,2.0348515
F Ahmed,1.0452172,2.0702327
F Ahmed,1.0403029,2.060683
F Ahmed,1.0200717,2.0534833
F Ahmed,0.9987567,2.0370186
LW James,-0.4967997,2.1063689
LW James,-0.5183236,2.0740073
LW James,-0.52873,2.1006568
LW James,-0.5487526,2.1058839
LW James,-0.4336744,2.1507106
LW James,-0.5406766,2.1274627
F Ahmed,1.0833694,2.120284
F Ahmed,1.0191607,2.0415491
F Ahmed,1.027641,1.9666327
F Ahmed,0.9645072,2.0595462
F Ahmed,1.029147,2.0867037
LW James,-0.5892313,2.0872742
LW James,-0.4552717,2.1390759
LW James,-0.4103934,2.1472899
LW James,-0.4528001,2.1321761
LW James,-0.3913935,2.0741043
LW James,-0.4913732,2.0779448
F Ahmed,1.12247,2.0760166
F Ahmed,1.0477437,2.1171623
F Ahmed,1.1024071,2.0750196
F Ahmed,1.0652051,2.0342657
LW James,-0.4340547,2.1047257
LW James,0.9619645,1.9679205
LW James,1.022579,2.068745
LW James,0.9459676,2.057059
LW James,0.921049,2.0485512
LW James,1.0338702,2.0940902
F Ahmed,1.0167664,2.0246628
F Ahmed,1.0007873,1.9810313
F Ahmed,1.0875473,2.0732297
F Ahmed,1.0081913,2.0784639
F Ahmed,1.0521539,2.0068732
LW James,-0.5223445,2.1069312
LW James,-0.5278129,2.0794652
LW James,-0.4517042,2.1303342
LW James,-0.4433664,2.1606056
LW James,-0.6687444,2.0857825
F Ahmed,1.0811704,2.0506159
F Ahmed,1.0755657,2.0601093
F Ahmed,1.0752924,2.0720981
F Ahmed,1.0088557,2.0659778
LW James,0.9461072,2.1209958
LW James,0.9062427,1.9756447
LW James,1.0473209,2.0984134
LW James,0.9924112,2.1012335
LW James,1.014705,2.0945438
LW James,0.8696488,1.9433031
DY Pennington,-0.8755282,2.2658652
DY Pennington,-0.7995564,2.2824303
DY Pennington,-0.7472369,2.2737028
DY Pennington,-0.6164025,2.1874241
DY Pennington,-0.6504478,2.2308818
FP O'Neill,1.0361811,2.0043667
FP O'Neill,0.9472415,2.0005156
FP O'Neill,1.014461,1.9452272
FP O'Neill,1.0765657,2.0778405
FP O'Neill,0.9157557,1.8750595
FP O'Neill,1.0085935,1.9630449
DY Pennington,-0.7458547,2.2331161
DY Pennington,-0.825267,2.3283172
DY Pennington,-0.7487382,2.2885499
DY Pennington,-0.7704581,2.1904763
DY Pennington,-0.7343281,2.2362252
FP O'Neill,1.0538732,1.8854939
FP O'Neill,1.1988964,2.0491138
FP O'Neill,-0.7852853,1.9461764
FP O'Neill,0.9631148,1.9073262
FP O'Neill,-0.7094852,1.9739365
FP O'Neill,-0.7776296,2.0449719
FP O'Neill,-0.7158114,1.9255057
FP O'Neill,-0.7949895,2.0619358
FP O'Neill,-0.6466321,1.8792588
FP O'Neill,-0.7452911,2.0348024
FP O'Neill,-0.7255282,1.9731951
FP O'Neill,-0.7814513,2.0168461
FP O'Neill,-0.7934948,2.0175591
FP O'Neill,-0.8138473,2.0283395
FP O'Neill,-0.7230118,1.9084681
FP O'Neill,-0.7191968,2.0150461
FP O'Neill,-0.7515514,1.9890982
FP O'Neill,-0.6956437,2.0221748
FP O'Neill,-0.7368533,2.0126607
FP O'Neill,-0.7582147,2.0044213
FP O'Neill,-0.7093057,2.043174
FP O'Neill,-0.7056539,1.9746706
FP O'Neill,-0.6933576,2.0157379
FP O'Neill,-0.7509154,2.0340988
FP O'Neill,-0.7596461,2.0281974
FP O'Neill,-0.696374,2.0106719
FP O'Neill,-0.7832073,1.9983612
FP O'Neill,-0.5370633,1.9807087
LW James,-0.5274171,2.1739558
LW James,-0.4555565,2.1260166
LW James,-0.4786344,2.0727315
LW James,-0.5026414,2.1137816
LW James,-0.5050554,2.1302686
LW James,-0.5033289,2.099676
LW James,-0.4742574,2.0990631
LW James,-0.5329691,2.0859259
LW James,-0.5266565,2.0793209
LW James,-0.5460326,2.0690398
DY Pennington,-0.6878939,2.1613213
DY Pennington,-0.6103936,2.224393
DY Pennington,-0.5461785,2.1168355
DY Pennington,-0.6186105,2.2202003
FP O'Neill,-0.6520187,2.0641452
FP O'Neill,-0.6274512,2.073222
FP O'Neill,-0.6642463,2.0949799
FP O'Neill,-0.6769131,2.079531
FP O'Neill,-0.6277916,1.9659988
FP O'Neill,-0.6662064,2.0718441
DY Pennington,-0.6546337,2.2067027
DY Pennington,-0.7061327,2.2221176
DY Pennington,-0.6196204,2.0518607
DY Pennington,-0.6434074,2.2312686
FP O'Neill,-0.6641944,2.0242675
FP O'Neill,-0.7318907,2.0382458
FP O'Neill,-0.7178359,2.0468241
FP O'Neill,-0.6591747,2.022251
BA Raine,-0.6484443,2.1022009
BA Raine,-0.6768015,2.1066095
BA Raine,-0.6640629,2.1425643
BA Raine,-0.6985297,2.1308892
BA Raine,-0.640042,2.1500468
BA Raine,-0.6087453,2.0918356
MJ Potts,-0.7710859,2.0785639
MJ Potts,-0.8104401,2.0567635
MJ Potts,-0.7951675,2.0798759
MJ Potts,-0.7382576,2.0860469
MJ Potts,-0.7893202,2.1074599
BA Raine,-0.6684057,2.1370702
BA Raine,-0.6550603,2.0816104
BA Raine,-0.6510854,2.1204415
BA Raine,-0.666189,2.0986498
BA Raine,-0.6936829,2.1056723
BA Raine,-0.64697,2.0882564
MJ Potts,-0.777048,2.092021
MJ Potts,-0.8074709,2.0753791
MJ Potts,-0.7594,2.0730735
MJ Potts,-0.7464371,2.0789104
BA Raine,-0.6918633,2.1012456
BA Raine,-0.7238472,2.0939331
BA Raine,-0.6421873,2.0792349
BA Raine,-0.704071,2.1416643
BA Raine,-0.6185543,2.1525629
BA Raine,-0.6381562,2.095742
BA Raine,-0.6546924,2.0628558
BA Raine,-0.7189002,2.0943403
BA Raine,-0.650863,2.0929635
BA Raine,-0.6861657,2.1278727
BA Raine,-0.6517715,2.0728037
BA Raine,0.9350489,2.0972896
BA Raine,1.0081913,2.1651539
BA Raine,1.0314263,2.147304
BA Raine,0.9974371,2.1362016
BA Raine,1.0677802,2.1620147
BA Raine,0.94985,2.1709936
BA Raine,-0.6422145,2.1030201
BA Raine,-0.633378,2.080682
BA Raine,0.9951456,2.1473941
BA Raine,0.9435917,2.1236521
BA Raine,0.9331758,2.1172032
MJ Potts,-0.7852811,2.1243279
MJ Potts,-1.0402619,2.1576287
MJ Potts,-1.1468205,2.1607302
MJ Potts,-1.0845266,2.1018296
MJ Potts,-1.1949488,2.2017248
MJ Potts,-1.1256873,2.1183376
MJ Potts,-1.0670772,2.1582553
MJ Potts,-1.0615955,2.1103689
MJ Potts,-1.06217,2.0446784
MJ Potts,-1.0486471,2.1399446
MJ Potts,-1.0947335,2.1203545
MJ Potts,-0.9454854,2.1096998
MJ Potts,0.8883303,2.1137691
MJ Potts,-1.069054,2.0780819
MJ Potts,-1.0809629,2.1158327
MJ Potts,-1.0667958,2.0752756
MJ Potts,0.9375287,2.1450663
MJ Potts,0.794565,1.9918199
MJ Potts,0.8473571,2.0690569
MJ Potts,0.9153334,2.127446
MJ Potts,0.7569431,2.0883939
MJ Potts,0.7595704,2.1553436
MJ Potts,-1.0360855,2.1207432
MJ Potts,-1.0837115,2.0729548
MJ Potts,-1.0393777,2.0668179
MJ Potts,0.8978502,2.1348178
MJ Potts,0.8855058,2.2030829
MJ Potts,0.8420659,2.0953239
MJ Potts,0.7796333,2.1476367
MJ Potts,0.7539344,2.1924804
MJ Potts,0.7854893,2.1649112
MJ Potts,0.7721636,2.1400541
MJ Potts,0.8373743,2.0785547
MJ Potts,0.7720035,2.1770085
MJ Potts,0.8513352,2.1024538
MJ Potts,0.6750119,2.0336917
MJ Potts,0.7863392,2.1521508
MJ Potts,0.7147531,2.0952463
P Coughlin,-0.5532202,2.2118401
P Coughlin,-0.5337445,2.203434
P Coughlin,-0.5459529,2.1923895
P Coughlin,-0.5368098,2.2320048
P Coughlin,-0.5233943,2.2074217
P Coughlin,-0.5241995,2.2360274
P Coughlin,-0.4601898,2.1863751
P Coughlin,-0.5530994,2.2138385
P Coughlin,-0.6293229,2.3637283
P Coughlin,-0.4353704,2.1903726
P Coughlin,-0.5387118,2.2315182
P Coughlin,-0.5069225,2.1641751
P Coughlin,-0.4904026,2.1892044
P Coughlin,-0.5082072,2.1374582
P Coughlin,-0.5132259,2.2288102
P Coughlin,-0.5445059,2.2084686
P Coughlin,-0.511083,2.1973732
P Coughlin,-0.5646462,2.1206388
P Coughlin,-0.5028515,2.2225946
P Coughlin,-0.5027699,2.1958518
P Coughlin,-0.5197257,2.29068
P Coughlin,-0.4789669,2.1933433
BA Raine,1.0371023,2.0488777
BA Raine,1.0663729,2.1406704
BA Raine,0.9494004,2.032558
BA Raine,0.9687805,2.097424
BA Raine,0.9689436,2.1000498
BA Raine,0.9944296,2.1093101
BA Raine,0.9720168,2.1000683
BA Raine,1.0956117,2.1175496
BA Raine,1.0616903,2.1445692
BA Raine,1.0088129,2.1103856
BA Raine,0.9887966,2.1180784
BA Raine,0.9607249,2.1244209
BA Raine,0.9767351,2.0951264
BA Raine,0.9568151,2.0788111
BA Raine,0.9662573,2.0807797
BA Raine,0.9354838,2.0481579
BA Raine,0.9576504,2.0921317
BA Raine,0.9102464,2.0522029
BA Raine,1.0182148,2.1127167
BA Raine,1.0252245,2.1056527
BA Raine,1.2411254,2.1124231
BA Raine,0.907642,2.0809273
BA Raine,0.9805682,2.0989035
WMH Rhodes,0.7111821,2.212187
WMH Rhodes,0.6829226,2.2044632
WMH Rhodes,0.6758654,2.1952515
WMH Rhodes,0.7446903,2.1860085
WMH Rhodes,0.8136527,2.2282731
WMH Rhodes,0.7197837,2.1666422
WMH Rhodes,0.7486956,2.1329539
WMH Rhodes,0.6811543,2.1813386
WMH Rhodes,0.7523558,2.1786643
WMH Rhodes,0.6960504,2.1096852
WMH Rhodes,-0.9929784,2.142365
WMH Rhodes,-1.0632106,2.0926205
MJ Potts,0.7488037,2.0830813
MJ Potts,0.7473374,2.074793
MJ Potts,-0.9580804,2.0689695
MJ Potts,-1.0405643,2.0810977
MJ Potts,-1.0595025,2.09709
P Coughlin,0.9861893,2.151579
P Coughlin,1.1814009,2.232326
P Coughlin,1.1201293,2.238622
P Coughlin,-0.6920365,2.1848895
MJ Potts,0.7870909,2.1350307
MJ Potts,0.8008269,2.099685
MJ Potts,0.8168915,2.0222679
MJ Potts,0.8573915,2.0879511
MJ Potts,0.8040133,2.1400126
MJ Potts,0.8562907,2.0895458
P Coughlin,-0.7044242,2.234828
P Coughlin,-0.7291612,2.2553656
P Coughlin,-0.6889467,2.1646717
P Coughlin,-0.6812018,2.2962802
MJ Potts,0.8462165,2.0936585
MJ Potts,0.772366,2.0811599
MJ Potts,0.7255561,2.0854401
MJ Potts,0.7531356,1.970051
MJ Potts,-1.0344267,2.0664664
MJ Potts,-0.9799645,2.0692426
P Coughlin,0.9733212,2.1564272
P Coughlin,0.9889089,2.1332507
P Coughlin,0.9211478,2.037889
P Coughlin,0.9828027,2.1810984
P Coughlin,0.9346469,2.0032481
MJ Potts,-1.018726,2.0547336
MJ Potts,-0.9800797,2.0767187
MJ Potts,-1.0377466,2.0539163
MJ Potts,-1.0311619,2.0390228
MJ Potts,0.7608262,1.9839668
MJ Potts,-0.9533641,2.0037236
P Coughlin,-0.5865169,2.1874932
P Coughlin,-0.6236642,2.1052316
P Coughlin,-0.7237792,2.2251993
MJ Potts,0.7699296,1.86843
MJ Potts,0.8598904,2.1181463
MJ Potts,0.7010422,1.8238832
MJ Potts,0.6831257,1.9939375
MJ Potts,-0.9442485,2.0333246
GS Drissell,0.7071529,2.2641453
GS Drissell,0.599303,2.2450535
GS Drissell,0.7013753,2.2488429
BA Raine,-0.6318484,2.0646917
BA Raine,-0.6286024,2.0431692
BA Raine,0.9116706,1.9181089
BA Raine,0.9170045,1.9474772
BA Raine,0.9754231,1.9971989
BA Raine,0.9568744,2.0708443
GS Drissell,-0.757652,2.2582304
GS Drissell,-0.7048883,2.2343708
GS Drissell,0.6691327,2.2912206
GS Drissell,0.5763759,2.1863419
GS Drissell,-0.7505256,2.2505638
GS Drissell,-0.737519,2.2367573
BA Raine,0.8871159,2.0363336
BA Raine,-0.6482251,2.0475505
BA Raine,-0.6569524,2.0272751
BA Raine,-0.6132311,2.05205
BA Raine,-0.6195809,2.0323592
BA Raine,-0.5640488,2.1029405
GS Drissell,0.6775949,2.2395912
GS Drissell,0.7340407,2.2195456
GS Drissell,0.6768546,2.2403797
GS Drissell,0.6845974,2.2777203
GS Drissell,0.7310143,2.2836946
BA Raine,-0.6654139,2.0671914
BA Raine,-0.6446922,2.0461599
BA Raine,-0.6113636,2.0459262
BA Raine,-0.6164073,2.0274484
BA Raine,-0.624477,2.0395117
BA Raine,-0.6359303,2.0426979
GS Drissell,0.6934679,2.3126576
GS Drissell,-0.7272135,2.2655371
GS Drissell,0.6470937,2.2274886
GS Drissell,0.6296278,2.2258788
P Coughlin,-0.6559838,2.1730191
P Coughlin,-0.5596533,2.1291735
P Coughlin,-0.5534509,2.1532412
P Coughlin,-0.621276,2.1725923
P Coughlin,-0.7022773,2.1822086
P Coughlin,0.9616249,2.1660532
GS Drissell,0.7212478,2.2515134
GS Drissell,0.7852643,2.3064197
GS Drissell,0.7236424,2.3409027
GS Drissell,0.6417126,2.2400787
P Coughlin,-0.7406073,2.2226752
P Coughlin,-0.7434549,2.2488252
P Coughlin,-0.7211881,2.197949
P Coughlin,-0.7352045,2.2164763
GS Drissell,0.7110082,2.2925709
GS Drissell,0.7284798,2.3071727
GS Drissell,0.644055,2.2980095
GS Drissell,-0.7229445,2.2137139
P Coughlin,1.151916,2.2281708
P Coughlin,0.931571,1.9348783
P Coughlin,0.9944865,2.1162049
P Coughlin,-0.7262056,2.1830748
P Coughlin,-0.7272935,2.1705339
P Coughlin,-0.7434191,2.19361
GS Drissell,0.6779898,2.2712882
GS Drissell,0.6173382,2.3020659
P Coughlin,-0.6325575,2.1281194
P Coughlin,-0.7229478,2.2346875
P Coughlin,0.9793819,2.0819208
P Coughlin,0.8791341,2.0094001
P Coughlin,-0.7204221,2.2094507
GS Drissell,0.6836482,2.3185202
GS Drissell,-0.7038401,2.2261902
GS Drissell,-0.8013314,2.2791517
GS Drissell,-0.7960581,2.3026943
GS Drissell,-0.7682568,2.2835014
P Coughlin,1.0456838,2.070724
P Coughlin,0.9028228,2.049172
P Coughlin,1.1213593,2.2456795
GS Drissell,-0.7357863,2.2525306
P Coughlin,-0.6998975,2.1851042
P Coughlin,-0.6798337,2.1844663
P Coughlin,-0.6350197,2.0446832
P Coughlin,-0.7384033,2.1701
P Coughlin,-0.7035543,2.2022104
P Coughlin,-0.6332414,2.0322274
GS Drissell,-0.7358785,2.2785732
GS Drissell,-0.7512925,2.271623
GS Drissell,-0.7084473,2.2722066
WMH Rhodes,-1.0167852,2.1107302
WMH Rhodes,-1.0824571,2.120669
WMH Rhodes,-1.0739887,2.1465331
WMH Rhodes,-1.0771042,2.0997397
WMH Rhodes,-0.9786838,2.1163945
WMH Rhodes,-1.0339178,2.0914237
WMH Rhodes,-1.0012263,2.0742055
WMH Rhodes,-1.0578533,2.1131552
WMH Rhodes,-1.0180082,2.1341843
GS Drissell,-0.7514281,2.2491005
GS Drissell,-0.7043032,2.2520338
GS Drissell,-0.6702359,2.2193502
GS Drissell,-0.7530312,2.2830972
WMH Rhodes,-1.0176468,2.1131636
WMH Rhodes,-1.0091635,2.0972499
WMH Rhodes,-1.0790859,2.1207727
WMH Rhodes,-1.004853,2.1021594
WMH Rhodes,-1.0830664,2.1121157
WMH Rhodes,-1.0252915,2.084701
GS Drissell,-0.7237977,2.3179176
GS Drissell,0.6341344,2.2557502
GS Drissell,0.6033051,2.2369715
GS Drissell,0.6496048,2.2591132
GS Drissell,0.6428686,2.2393243
MJ Potts,-1.0298873,2.0688173
MJ Potts,-0.8913747,2.0449003
MJ Potts,-0.8663293,2.062387
MJ Potts,-0.8203162,2.0626551
MJ Potts,-0.6951892,2.0822841
