Bowler,External PitchX,External PitchY
MJ Potts,7.2817161,0.0184442
MJ Potts,7.2486682,-0.3285676
BA Raine,6.4762895,-0.2010337
BA Raine,5.9776761,-0.360028
BA Raine,4.1186514,0.1343361
BA Raine,5.4056598,-0.164065
BA Raine,5.6924829,-0.1967184
BA Raine,6.4394424,-0.1207489
BA Raine,7.2735672,-0.1788368
BA Raine,9.0350315,-0.3544295
BA Raine,6.13427,-0.4688201
BA Raine,4.7860257,-0.350574
BA Raine,6.6238635,-0.3537187
BA Raine,7.1218454,0.7764191
BA Raine,6.2228073,0.4361994
BA Raine,6.0734724,0.4271683
BA Raine,4.9622198,0.2674989
BA Raine,5.1390022,0.4579248
BA Raine,4.6232104,0.1502709
BA Raine,7.5684566,-0.3662948
BA Raine,6.200921,-0.0872439
BA Raine,6.7127779,0.3755934
BA Raine,8.2697247,0.4080276
BA Raine,4.4482424,0.3944875
MJ Potts,6.0504283,-0.6267201
MJ Potts,3.9737439,-0.3693734
MJ Potts,6.6892253,-0.5784226
MJ Potts,5.6204542,-0.670619
MJ Potts,4.7775676,-0.4743956
MJ Potts,5.6738307,-0.6180579
MJ Potts,6.0634005,-0.688888
MJ Potts,6.9841871,-0.4144683
MJ Potts,7.9202314,-0.5033054
MJ Potts,6.2104863,-0.532737
MJ Potts,6.5205902,-0.5674537
MJ Potts,4.6740833,-0.3866499
MJ Potts,5.8276031,0.2862458
MJ Potts,7.6344761,-0.5822081
MJ Potts,4.1473184,-0.5485153
MJ Potts,6.739762,-0.5093513
MJ Potts,4.1348095,0.24506
MJ Potts,6.8519618,0.5315055
MJ Potts,7.1554445,0.3280352
MJ Potts,5.6331165,0.4927221
MJ Potts,7.17544,0.4592761
MJ Potts,5.2308421,0.3297923
MJ Potts,5.5948158,-0.4180609
MJ Potts,7.2964527,-0.5440736
MJ Potts,6.7893336,-0.4193921
MJ Potts,6.2502521,0.6027803
MJ Potts,3.6405256,0.0815136
MJ Potts,6.1993435,0.2814762
MJ Potts,5.4007158,0.2468842
MJ Potts,5.4130733,0.3208054
MJ Potts,7.1412194,0.3270875
MJ Potts,5.9378379,0.269195
MJ Potts,6.6874486,0.5984219
MJ Potts,6.5286373,0.2870874
MJ Potts,10.4314305,0.5868881
MJ Potts,10.553236,0.5272237
MJ Potts,6.2604844,0.3415806
MJ Potts,5.7718704,0.2074646
P Coughlin,7.1250304,-0.1233532
P Coughlin,6.9621483,-0.1324538
P Coughlin,7.3821107,-0.2823703
P Coughlin,6.9525721,-0.2264002
P Coughlin,4.6480312,0.0636467
P Coughlin,4.9660717,0.359145
P Coughlin,8.5637204,-0.1298978
P Coughlin,6.7559517,-0.0513645
P Coughlin,7.7155329,-0.0649575
P Coughlin,7.4636516,-0.0390634
P Coughlin,6.442841,0.180512
P Coughlin,6.5160719,-0.0585318
P Coughlin,6.1844791,0.2174482
P Coughlin,7.9827142,-0.3057257
P Coughlin,7.4267843,-0.1731341
P Coughlin,6.1873146,0.0695119
P Coughlin,6.269803,0.2002985
P Coughlin,10.1480844,-0.352537
P Coughlin,6.3162047,-0.015385
P Coughlin,7.7205281,-0.1815565
P Coughlin,9.0976272,-0.1964985
P Coughlin,6.2902022,-0.1094586
BA Raine,6.6800385,0.6881162
BA Raine,5.5107691,0.2717036
BA Raine,6.4619565,0.4327502
BA Raine,5.4941948,0.2604727
BA Raine,4.9544528,0.4406951
BA Raine,4.8251179,0.5170668
BA Raine,3.4556731,0.3967593
BA Raine,5.3494102,0.4451516
BA Raine,5.578202,0.5106666
BA Raine,7.2973973,0.580435
BA Raine,6.5569874,0.6802195
BA Raine,6.7574104,0.472186
BA Raine,3.7609969,0.2231765
BA Raine,5.3344175,0.5040754
BA Raine,5.8146057,0.3300145
BA Raine,5.2702915,0.4393801
BA Raine,5.9456245,0.2964968
BA Raine,7.256008,0.4737729
BA Raine,6.7256771,0.5081135
BA Raine,4.2579497,0.5657217
BA Raine,7.4979792,0.5823299
BA Raine,3.7178828,0.3699537
BA Raine,7.8824135,0.3620885
WMH Rhodes,4.0856464,0.0518014
WMH Rhodes,4.8671154,0.3555828
WMH Rhodes,6.7302663,0.7675761
WMH Rhodes,8.6131426,0.5844844
WMH Rhodes,7.0220582,0.9006815
WMH Rhodes,3.8481578,0.4793005
WMH Rhodes,7.0069622,0.3873007
WMH Rhodes,6.9907767,0.2950383
WMH Rhodes,4.5793583,0.366201
WMH Rhodes,9.4221437,0.3210848
WMH Rhodes,7.1736624,-0.4926329
WMH Rhodes,7.8857614,-0.3162668
MJ Potts,8.9342389,0.2207338
MJ Potts,9.5319193,0.2000442
MJ Potts,6.7419496,-0.7308731
MJ Potts,7.9117942,-0.7567476
MJ Potts,6.391887,-0.7876106
P Coughlin,9.0387737,0.507602
P Coughlin,6.4801437,0.5927234
P Coughlin,6.4681128,0.6145364
P Coughlin,7.9216279,-0.4899916
MJ Potts,5.3867558,0.0732628
MJ Potts,5.675488,0.3308467
MJ Potts,6.5494904,0.413403
MJ Potts,5.3818992,0.2432449
MJ Potts,4.7447991,0.2605639
MJ Potts,7.2971276,0.6308445
P Coughlin,5.1299512,-0.2088608
P Coughlin,5.6205335,-0.5131317
P Coughlin,7.4908132,-0.4205513
P Coughlin,7.8289879,-0.4694267
MJ Potts,6.7161324,0.3001652
MJ Potts,5.7525805,0.2034504
MJ Potts,6.9022103,0.1795624
MJ Potts,11.7623327,0.4868467
MJ Potts,8.0078924,-0.5312617
MJ Potts,7.1654442,-0.5118002
P Coughlin,5.7091358,0.4309085
P Coughlin,7.5518077,0.3329288
P Coughlin,7.1152417,0.3238295
P Coughlin,4.4496955,0.7164094
P Coughlin,8.7958437,0.5492777
MJ Potts,7.0653836,-0.5219166
MJ Potts,5.6614421,-0.5404134
MJ Potts,6.2694079,-0.6707271
MJ Potts,8.4954245,-0.5502907
MJ Potts,5.6269978,0.39715
MJ Potts,7.2967997,-0.5165496
P Coughlin,7.643398,-0.0527393
P Coughlin,5.3122291,-0.2334496
P Coughlin,7.7868742,-0.487187
MJ Potts,6.40685,0.219693
MJ Potts,5.6986375,0.1595127
MJ Potts,5.9949676,0.1210216
MJ Potts,11.1409742,0.4306406
MJ Potts,6.6016163,-0.7086962
GS Drissell,4.5106835,0.4385457
GS Drissell,4.1122097,0.4805594
GS Drissell,4.5255879,0.117787
BA Raine,6.9176661,-0.3655629
BA Raine,7.1435422,-0.4495072
BA Raine,6.4936573,0.3689284
BA Raine,4.9969437,0.3326661
BA Raine,4.3941954,0.5058481
BA Raine,6.520234,0.6022738
GS Drissell,4.7560376,-0.1770071
GS Drissell,3.9800195,-0.1359614
GS Drissell,3.4934511,0.2645221
GS Drissell,3.2172816,0.3482807
GS Drissell,4.4845105,-0.3021572
GS Drissell,4.3732494,-0.1802629
BA Raine,8.5877872,0.5651765
BA Raine,6.2053531,-0.3018271
BA Raine,7.5148085,-0.3877653
BA Raine,8.0195155,-0.250744
BA Raine,5.8779343,-0.1976442
BA Raine,6.4031362,0.0166892
GS Drissell,4.361325,-0.0901406
GS Drissell,4.5498488,-0.0390354
GS Drissell,3.6158308,0.2775686
GS Drissell,4.6506019,0.5047151
GS Drissell,4.3859662,0.1699497
BA Raine,7.2923005,-0.3374522
BA Raine,6.1624466,-0.2331152
BA Raine,8.1474816,-0.2551319
BA Raine,7.3164897,-0.3927788
BA Raine,5.9719763,-0.0036484
BA Raine,8.3193512,-0.4680725
GS Drissell,3.6939579,0.3104137
GS Drissell,3.4942939,-0.1883235
GS Drissell,4.7027267,0.258729
GS Drissell,4.7489451,0.3429657
P Coughlin,6.3450069,-0.2232062
P Coughlin,8.659882,-0.4934586
P Coughlin,8.3137607,-0.3717529
P Coughlin,8.3313712,-0.5875773
P Coughlin,8.4767213,-0.2989518
P Coughlin,4.6673344,0.3214389
GS Drissell,4.4594918,0.3579748
GS Drissell,4.307933,0.2338113
GS Drissell,5.3620241,0.3569388
GS Drissell,4.6822861,0.2546996
P Coughlin,5.4373417,-0.2342317
P Coughlin,5.7783975,-0.3886382
P Coughlin,7.9665168,-0.3647892
P Coughlin,6.0025654,-0.4259768
GS Drissell,5.6556606,0.2938207
GS Drissell,3.8080155,0.3441867
GS Drissell,5.0754342,0.206585
GS Drissell,3.6494015,-0.2060264
P Coughlin,8.508989,0.2086342
P Coughlin,10.9781655,0.6707202
P Coughlin,4.8818991,0.532756
P Coughlin,5.6405478,-0.4498906
P Coughlin,7.0226769,-0.3221744
P Coughlin,7.160271,-0.4087114
GS Drissell,4.6291777,0.5033615
GS Drissell,4.5003511,0.2972085
P Coughlin,8.243207,-0.5307517
P Coughlin,5.1203267,-0.5319168
P Coughlin,10.0555191,0.2852849
P Coughlin,10.7364404,0.3859885
P Coughlin,7.0427273,-0.4602411
GS Drissell,4.3264302,0.038424
GS Drissell,4.5435267,-0.1256271
GS Drissell,3.5030807,-0.159783
GS Drissell,3.8932232,-0.3685424
GS Drissell,5.2265004,-0.0917108
P Coughlin,8.0054787,0.4440973
P Coughlin,7.7862641,0.3103885
P Coughlin,4.8768621,0.7000314
GS Drissell,4.066824,-0.024421
P Coughlin,7.9236081,-0.4743338
P Coughlin,7.8867289,-0.5855966
P Coughlin,10.426722,-0.492831
P Coughlin,6.7106953,-0.5220208
P Coughlin,5.6208276,-0.4383485
P Coughlin,9.8055747,-0.4157812
GS Drissell,5.0454265,-0.2892971
GS Drissell,3.6554278,-0.1980867
GS Drissell,5.8397544,-0.1792089
WMH Rhodes,8.1300438,-0.6488614
WMH Rhodes,6.0286749,-0.2763046
WMH Rhodes,3.6396106,-0.5434562
WMH Rhodes,8.0546899,-0.6985893
WMH Rhodes,6.9359342,-0.288112
WMH Rhodes,8.1420119,-0.8270598
WMH Rhodes,7.3644282,-0.8285294
WMH Rhodes,7.1783006,-0.3766973
WMH Rhodes,6.8812654,-0.9081414
GS Drissell,4.6590616,-0.2327433
GS Drissell,5.368165,-0.0634176
GS Drissell,5.3420176,-0.3780736
GS Drissell,5.9193075,-0.3427212
WMH Rhodes,5.8029343,-0.5146225
WMH Rhodes,7.6190717,-0.8543035
WMH Rhodes,4.5642027,-0.480368
WMH Rhodes,6.8626329,-0.6768035
WMH Rhodes,7.0201999,-0.6600868
WMH Rhodes,8.953333,-0.4961534
GS Drissell,4.9870265,-0.3810097
GS Drissell,5.3982412,-0.409628
GS Drissell,4.3457271,-0.3401474
GS Drissell,4.9627082,-0.1442607
GS Drissell,3.8119419,-0.134155
MJ Potts,7.8293953,-0.5243413
MJ Potts,7.119388,-0.5946357
MJ Potts,5.2210821,-0.6677934
MJ Potts,7.1950045,-0.3588878
MJ Potts,4.8781541,-0.3087172
