Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Link
JH Davey (SOM),2025-2025,10,16,1064,177.2,26,630,19,33.15,3.55,56,-,-,https://www.espncricinfo.com/cricketers/josh-davey-407265
S Baker (HAM),2025-2025,6,12,941,156.5,11,686,19,36.1,4.37,49.52,-,2,https://www.espncricinfo.com/cricketers/sonny-baker-1191192
L Gregory (SOM),2025-2025,11,14,1047,174.3,25,649,17,38.17,3.71,61.58,1,-,https://www.espncricinfo.com/cricketers/lewis-gregory-362201
GS Drissell (DUR),2025-2025,7,11,1414,235.4,34,884,17,52,3.75,83.17,-,1,https://www.espncricinfo.com/cricketers/george-drissell-1012835
JD Unadkat (SUS),2025-2025,3,6,525,87.3,23,276,16,17.25,3.15,32.81,2,-,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
BJ Webster (WAR),2025-2025,6,11,837,139.3,27,425,16,26.56,3.04,52.31,1,-,https://www.espncricinfo.com/cricketers/beau-webster-381329
CAK Rajitha (ESS),2025-2025,5,10,852,142,26,556,16,34.75,3.91,53.25,1,1,https://www.espncricinfo.com/cricketers/kasun-rajitha-499594
SJ Cook (ESS),2025-2025,6,10,1129,188.1,40,564,16,35.25,2.99,70.56,1,-,https://www.espncricinfo.com/cricketers/sam-cook-772061
CF Parkinson (DUR/WOR),2025-2025,5,8,1185,197.3,31,596,16,37.25,3.01,74.06,1,-,https://www.espncricinfo.com/cricketers/callum-parkinson-789729
CJ Rocchiccioli (WAR),2025-2025,4,7,1013,168.5,16,597,16,37.31,3.53,63.31,-,2,https://www.espncricinfo.com/cricketers/corey-rocchiccioli-1205981
NRM Thain (ESS),2025-2025,13,19,1051,175.1,10,827,16,51.68,4.72,65.68,-,-,https://www.espncricinfo.com/cricketers/noah-thain-1318274
JNT Seales (SUS),2025-2025,4,7,708,118,12,528,15,35.2,4.47,47.2,1,-,https://www.espncricinfo.com/cricketers/jayden-seales-1199304
